"","tipo_transaccion","nombre_comercio","giro_nombre","mcc_nombre","fecha_transaccion","ope_pais","entry_mode","sexo_cliente","estado_cliente","edad_cliente","monto_transaccion","id_cliente","tiempo","cluster"
"38","TDD","DLOCAL*SHEIN          CIUDAD DE MEX09","AGREGADOR","AGREGADOR",2023-01-29,"MX","CARD NOT PRESENT","F","MICHOACAN DE OCAMPO",19,581.53,9520,82,3
"39","TDD","MERCADO PAGO          CIUDAD DE MEXDF","OTROS","MERCADEO DIRECTO - NO CLASIFICADO",2022-12-16,"MX","CARD NOT PRESENT","M","CIUDAD DE MEXICO",27,59.85,2235,38,4
"40","TDD","STP*UBER EATS PENDING CIUDAD DE MEX001","OTROS","TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",2023-01-09,"MX","CARD NOT PRESENT","M","SONORA",27,215.97,7324,62,2
"41","TDD","CLIP MX*CAFETERA MUSEOZUMPANGO     000","AGREGADOR","AGREGADOR",2023-02-11,"MX","CARD PRESENT","M","PUEBLA",32,44.88,3512,95,4
"42","TDD","STP*UBER TRIP         CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-12-09,"MX","CARD NOT PRESENT","M","CIUDAD DE MEXICO",32,84.76,3769,31,4
"43","TDC","SHIRUSHI SAN MANUEL   PUEBLA PUE   PU","RESTAURANTE","RESTAURANTES",2023-01-12,"MX","CARD PRESENT","M","PUEBLA",41,192.74,336,65,2
"44","TDC","SNP*MERCADOPAGO       CIUDAD DE MEX001","AGREGADOR","AGREGADOR",2023-02-18,"MX","CARD NOT PRESENT","M","TABASCO",37,291.39,2529,102,2
"45","TDD","STP*UBER PENDING      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-12-11,"MX","CARD NOT PRESENT","M","BAJA CALIFORNIA",28,64.81,9024,33,4
"46","TDC","STP*UBER PENDING      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-12-23,"MX","CARD NOT PRESENT","M","YUCATAN",22,44.85,9526,45,4
"47","TDC","TH SUCURSAL CALZADA VASN PEDRO GARZNL","COMIDA RAPIDA","COMIDA RAPIDA",2023-02-23,"MX","CARD PRESENT","F","NUEVO LEON",30,89.29,8607,107,4
"48","TDC","SC*PLAYDOIT           GOMEZ PALACIO010","RETAIL","CASINOS CASAS DE JUEGO (APUESTAS INCLUYE BILLETES)",2023-03-01,"MX","CARD NOT PRESENT","M","VERACRUZ DE IGNACIO DE LA LLAV",36,59.85,9194,113,4
"49","TDD","OPENPAY*PLAYDOIT MEXICGOMEZ PALACIODGO","AGREGADOR","AGREGADOR",2023-01-05,"MX","CARD NOT PRESENT","M","NUEVO LEON",22,209.55,9326,58,2
"50","TDD","POINTMP*ABARROTES     MEXICO DF    DF","AGREGADOR","AGREGADOR",2023-01-04,"MX","CARD PRESENT","F","SONORA",37,20.43,9846,57,4
"51","TDD","SNP*MERCADOPAGO       CIUDAD DE MEX001","AGREGADOR","AGREGADOR",2023-01-29,"MX","CARD PRESENT","M","NUEVO LEON",31,54.86,4319,82,4
"52","TDC","UBER *CASH               Amsterdam","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-02-04,"NL","CARD NOT PRESENT","M","GUANAJUATO",39,520.98,4090,88,3
"53","TDC","CLIP MX*ABARROTES     CIUDAD DE MEX000","AGREGADOR","AGREGADOR",2022-12-15,"MX","CARD PRESENT","M","TABASCO",33,34.9,5035,37,4
"54","TDD","MERCADO PAGO 3        CIUDAD DE MEX001","OTROS","MERCADO DIRECTO - VENTAS POR CATALOGO",2023-02-06,"MX","CARD NOT PRESENT","M","CIUDAD DE MEXICO",30,514.15,1185,90,3
"55","TDD","STARBUCKS PZA FIESTA ASN NICOLAS DLNL","COMIDA RAPIDA","COMIDA RAPIDA",2022-12-25,"MX","CARD PRESENT","F","NUEVO LEON",19,83.3,2880,47,4
"56","TDD","SUPER 7 24            ORIZABA VER  030","MISCELANEAS","ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",2023-01-29,"MX","CARD PRESENT","M","VERACRUZ DE IGNACIO DE LA LLAV",45,28.41,2639,82,4
"57","TDD","DLOCAL*RAPPI          CIUDAD DE MEX09","AGREGADOR","AGREGADOR",2023-01-20,"MX","CARD NOT PRESENT","M","NUEVO LEON",24,113.59,8447,73,4
"58","TDD","CAFFENIO 2000 NOGALES NOGALES SON  SO","COMIDA RAPIDA","COMIDA RAPIDA",2023-01-16,"MX","CARD PRESENT","F","SONORA",50,41.89,7284,69,4
"59","TDD","DLOCAL*DIDI RIDES     CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-12-10,"MX","CARD NOT PRESENT","F","CHIHUAHUA",31,38.82,2209,32,4
"60","TDD","SNP*MERCADOPAGO       CIUDAD DE MEX001","AGREGADOR","AGREGADOR",2023-02-10,"MX","CARD PRESENT","M","SONORA",30,92.29,1729,94,4
"61","TDC","STP*UBER EATS PENDING CIUDAD DE MEX001","OTROS","TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",2022-12-11,"MX","CARD NOT PRESENT","M","NUEVO LEON",35,169.63,7182,33,2
"62","TDD","D LOCAL*HBO MAX       CIUDAD DE MEX001","AGREGADOR","AGREGADOR",2023-01-03,"MX","CARD NOT PRESENT","M","NUEVO LEON",44,47.13,9577,56,4
"63","TDD","DUBAI                 SOLIDARIDAD Q023","ENTRETENIMIENTO","JARDINES BOTANICOS(ZOO, SERVICIOS DE ENTREMIENTO)",2022-12-16,"MX","CARD PRESENT","F","VERACRUZ DE IGNACIO DE LA LLAV",44,159.65,549,38,2
"64","TDD","GRUPO VIDANTA         BAHIA DE BANDNAY","HOTELES","SERV NO CLASIFICADOS HOTELES, MOTELES,CTROS TURIST",2022-12-16,"MX","CARD PRESENT","M","JALISCO",29,22.43,2722,38,4
"65","TDC","KIOSKO GAS EJERCI NAL COLIMA COL   CL","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2023-02-15,"MX","CARD PRESENT","M","COLIMA",33,59.85,2351,99,4
"66","TDD","DUBAI                 SOLIDARIDAD Q023","ENTRETENIMIENTO","JARDINES BOTANICOS(ZOO, SERVICIOS DE ENTREMIENTO)",2023-02-17,"MX","CARD PRESENT","F","VERACRUZ DE IGNACIO DE LA LLAV",44,539.03,549,101,3
"67","TDD","CEDIS GRUPO AZTECA    MORELIA MICH 016","MISCELANEAS","ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",2023-02-19,"MX","CARD PRESENT","M","MICHOACAN DE OCAMPO",31,395.03,1424,103,3
"68","TDC","UBER CORNERSHOP       TLALNEPANTLA 015","RESTAURANTE","RESTAURANTES",2022-12-16,"MX","CARD NOT PRESENT","F","CIUDAD DE MEXICO",45,31.61,5925,38,4
"69","TDD","DLOCAL*DIDI FOOD      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-12-01,"MX","CARD NOT PRESENT","F","NUEVO LEON",31,86.8,5344,23,4
"70","TDD","NETFLIX COM CR        MEXICO DF    DF","ENTRETENIMIENTO","PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO",2023-02-17,"MX","CARD NOT PRESENT","F","NUEVO LEON",32,159.15,2358,101,2
"71","TDD","MERCADO PAGO 5        CIUDAD DE MEX001","OTROS","MERCADO DIRECTO - VENTAS POR CATALOGO",2023-01-11,"MX","CARD NOT PRESENT","F","QUINTANA ROO",27,79.31,4267,64,4
"72","TDD","PAYPAL3               MEXICO DF    DF","AGREGADOR","AGREGADOR",2023-01-03,"MX","CARD NOT PRESENT","M","NUEVO LEON",21,14.94,2205,56,4
"73","TDD","MERPAGO*NIVEL6        CIUDAD DE MEXDF","AGREGADOR","AGREGADOR",2023-01-03,"MX","CARD NOT PRESENT","F","BAJA CALIFORNIA",39,59.35,3612,56,4
"74","TDD","SC*PLAYDOIT           GOMEZ PALACIO010","RETAIL","CASINOS CASAS DE JUEGO (APUESTAS INCLUYE BILLETES)",2023-01-23,"MX","CARD NOT PRESENT","M","CHIHUAHUA",34,209.55,1016,76,2
"75","TDD","TICKETMASTER MEXICO   CIUDAD DE MEX00","ENTRETENIMIENTO","FERIAS,CIRCOS,PARQUES DE DIVERSION,ADIVINOS, LECTU",2022-12-03,"MX","CARD NOT PRESENT","M","CIUDAD DE MEXICO",23,549.91,1603,25,3
"76","TDD","MERCADO PAGO          CIUDAD DE MEXDF","OTROS","MERCADEO DIRECTO - NO CLASIFICADO",2022-12-08,"MX","CARD NOT PRESENT","M","CHIHUAHUA",32,34.9,6539,30,4
"77","TDD","CARLS JR CARR NACIONALMONTERREY NL NL","COMIDA RAPIDA","COMIDA RAPIDA",2022-12-06,"MX","CARD PRESENT","M","NUEVO LEON",44,73.82,2993,28,4
"78","TDD","SC*CALIENTE2          TIJUANA BCN  003","ENTRETENIMIENTO","CLUBES DEPORTIVOS PROFESIONALES, (HIPODROMOS,",2022-12-11,"MX","CARD NOT PRESENT","M","DURANGO",30,109.75,88,33,4
"79","TDD","VSFLASH MOBILE01800422MEXICO DF    DF","OTROS","MERCADEO DIRECTO - NO CLASIFICADO",2022-11-19,"MX","CARD NOT PRESENT","M","COAHUILA DE ZARAGOZA",41,59.85,1480,11,4
"80","TDD","Google EA Mobile         650-2530000","OTROS","SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS",2023-01-15,"US","CARD NOT PRESENT","M","NUEVO LEON",22,42.12,5724,68,4
"81","TDC","STP*UBER PENDING      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-01-23,"MX","CARD NOT PRESENT","M","BAJA CALIFORNIA",49,54.85,6177,76,4
"82","TDC","DLOCAL*DIDI FOOD CA   CIUDAD DE MEX09","AGREGADOR","AGREGADOR",2023-01-17,"MX","CARD NOT PRESENT","F","ZACATECAS",33,139.14,7250,70,4
"83","TDD","MERCADO PAGO          CIUDAD DE MEXDF","OTROS","MERCADEO DIRECTO - NO CLASIFICADO",2022-11-24,"MX","CARD NOT PRESENT","M","GUANAJUATO",30,342.29,2515,16,2
"84","TDC","YouTube                  London","ENTRETENIMIENTO","PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO",2022-12-27,"GB","CARD NOT PRESENT","M","PUEBLA",24,22.43,5163,49,4
"85","TDC","UBER                  CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-02-13,"MX","CARD NOT PRESENT","F","VERACRUZ DE IGNACIO DE LA LLAV",26,14.94,1107,97,4
"86","TDC","PAYPAL3               MEXICO DF    DF","AGREGADOR","AGREGADOR",2023-01-20,"MX","CARD NOT PRESENT","M","CHIAPAS",23,109.25,8359,73,4
"87","TDD","OXXO MISION SILLA MTY GUADALUPE NL NL","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2022-11-12,"MX","CARD PRESENT","F","NUEVO LEON",20,59.85,5521,4,4
"88","TDD","MERCADO PAGO          CIUDAD DE MEXDF","OTROS","MERCADEO DIRECTO - NO CLASIFICADO",2023-01-28,"MX","CARD NOT PRESENT","M","COAHUILA DE ZARAGOZA",26,346.58,2081,81,2
"89","TDD","PLAYDOIT              GOMEZ PALACIO010","OTROS","BANDAS, ORQUESTAS, GRUPOS,DIVERSIONES NO CLASIFICA",2023-02-18,"MX","CARD NOT PRESENT","M","NUEVO LEON",46,100.77,1160,102,4
"90","TDD","DLOCAL*DIDI RIDES     CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-02-26,"MX","CARD NOT PRESENT","M","JALISCO",27,105.62,5183,110,4
"91","TDD","IZZI APP PAGO 3       CIUDAD DE MEX001","ENTRETENIMIENTO","PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO",2022-11-25,"MX","CARD NOT PRESENT","M","YUCATAN",38,254.46,2594,17,2
"92","TDD","STP*UBER EATS PENDING CIUDAD DE MEX001","OTROS","TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",2022-12-31,"MX","CARD NOT PRESENT","M","MICHOACAN DE OCAMPO",32,111.6,5974,53,4
"93","TDC","STRIPE *UBER TRIP     CIUDAD DE MEXCMX","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-02-19,"MX","CARD NOT PRESENT","M","MEXICO",24,46.26,5056,103,4
"94","TDC","PR ADOBE CR           NAUCALPAN DE EM","OTROS","SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS",2023-02-18,"MX","CARD NOT PRESENT","M","PUEBLA",31,159.15,3502,102,2
"95","TDD","DLOCAL*DIDI FOOD      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-02-28,"MX","CARD NOT PRESENT","M","MEXICO",35,70.88,960,112,4
"96","TDD","NETFLIX COM CR        MEXICO DF    DF","ENTRETENIMIENTO","PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO",2023-03-04,"MX","CARD NOT PRESENT","M","SAN LUIS POTOSI",22,119.23,2609,116,4
"97","TDD","LIVERPOOL POR INTERNETMEXICO DF    000","OTROS","MERCADEO DIRECTO - NO CLASIFICADO",2022-11-18,"MX","CARD NOT PRESENT","F","JALISCO",39,540.53,7551,10,3
"98","TDD","STP*UBER EATS PENDING CIUDAD DE MEX001","OTROS","TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",2023-01-01,"MX","CARD NOT PRESENT","F","CIUDAD DE MEXICO",19,118.78,8555,54,4
"99","TDC","CHOPO EXPRESS WEB     CIUDAD DE MEX001","OTROS","LABORATORIOS DENTALES, (LABORATORIOS MEDICOS)",2022-11-16,"MX","CARD NOT PRESENT","F","SAN LUIS POTOSI",34,209.06,5655,8,2
"100","TDD","OXXOVIVENZIAS MTY     SANTA CATARINNL","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2023-01-01,"MX","CARD PRESENT","F","NUEVO LEON",24,56.86,5265,54,4
"101","TDD","STP*CLIP MX           CIUDAD DE MEX001","AGREGADOR","AGREGADOR",2022-12-17,"MX","CARD NOT PRESENT","M","QUERETARO",40,109.25,8129,39,4
"102","TDD","Vida Divina              909-3335443","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2023-03-07,"US","CARD NOT PRESENT","F","YUCATAN",36,947.14,5520,119,1
"103","TDC","VIPS JIUTEPEC         JIUTEPEC MOR MO","RESTAURANTE","RESTAURANTES",2022-11-13,"MX","CARD PRESENT","M","QUERETARO",39,162.15,7085,5,2
"104","TDD","D LOCAL*DIDI RIDES    CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-03-04,"MX","CARD NOT PRESENT","F","NUEVO LEON",27,48.29,8852,116,4
"105","TDC","STP*UBER EATS PENDING CIUDAD DE MEX001","OTROS","TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",2022-12-09,"MX","CARD NOT PRESENT","F","BAJA CALIFORNIA",27,124.22,7955,31,4
"106","TDC","TELAS PARISINA 1905   SANNICOLAS D000","RETAIL","TELAS Y CASIMIRES,MERCERIAS, BONETERIAS,CORCETERIA",2022-12-21,"MX","CARD PRESENT","M","NUEVO LEON",23,60.32,4097,43,4
"107","TDD","CINEPOLIS DULCERIA    MORELIA MICH 16","ENTRETENIMIENTO","CINES, TEATROS",2023-03-01,"MX","CARD PRESENT","F","AGUASCALIENTES",34,109.75,302,113,4
"108","TDD","SC*CALIENTE2          TIJUANA BCN  003","ENTRETENIMIENTO","CLUBES DEPORTIVOS PROFESIONALES, (HIPODROMOS,",2022-11-09,"MX","CARD NOT PRESENT","F","CIUDAD DE MEXICO",49,19.93,3663,1,4
"109","TDD","EXTRA 515 SANTA ANA   MERIDA YUC   YU","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2022-12-07,"MX","CARD PRESENT","M","YUCATAN",44,31.41,8051,29,4
"110","TDC","www aliexpress com       LUXEMBOURG","OTROS","MERCADO DIRECTO - VENTAS POR CATALOGO",2023-03-03,"LU","CARD NOT PRESENT","M","VERACRUZ DE IGNACIO DE LA LLAV",23,361.7,726,115,2
"111","TDD","Vida Divina              909-3335443","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2023-01-20,"US","CARD NOT PRESENT","F","YUCATAN",36,574.73,5520,73,3
"112","TDD","7 ELEVEN GALEANA      MONTERREY NL NL","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2023-02-21,"MX","CARD PRESENT","F","NUEVO LEON",22,21.68,8577,105,4
"113","TDD","SC*CALIENTEMX2        TIJUANA BCN  001","ENTRETENIMIENTO","CLUBES DEPORTIVOS PROFESIONALES, (HIPODROMOS,",2023-02-02,"MX","CARD NOT PRESENT","M","NUEVO LEON",31,384.2,814,86,3
"114","TDD","OXXOBELMODO AGU       JESUS MARIA AAG","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2022-12-13,"MX","CARD PRESENT","M","AGUASCALIENTES",17,29.91,217,35,4
"115","TDC","SNP*MERCADOPAGO       CIUDAD DE MEX001","AGREGADOR","AGREGADOR",2023-01-01,"MX","CARD NOT PRESENT","M","CIUDAD DE MEXICO",28,94.42,6141,54,4
"116","TDD","SC*CALIENTE2          TIJUANA BCN  003","ENTRETENIMIENTO","CLUBES DEPORTIVOS PROFESIONALES, (HIPODROMOS,",2022-12-21,"MX","CARD NOT PRESENT","F","VERACRUZ DE IGNACIO DE LA LLAV",25,54.36,3276,43,4
"117","TDD","STR*UBER PENDING      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-01-26,"MX","CARD NOT PRESENT","M","NUEVO LEON",31,41.78,9483,79,4
"118","TDD","HTECH COM TELCEL SAL  SN PEDRO GARZ001","RETAIL","COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE",2023-03-04,"MX","CARD NOT PRESENT","M","YUCATAN",31,209.05,5219,116,2
"119","TDC","STP*UBER PENDING      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-11-08,"MX","CARD NOT PRESENT","M","NUEVO LEON",22,26.58,3353,0,4
"120","TDC","STP*UBER PENDING      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-12-08,"MX","CARD NOT PRESENT","F","CIUDAD DE MEXICO",24,44.88,7513,30,4
"121","TDD","OXXO ZOOLOGICO        LEON GTO     GU","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2022-12-28,"MX","CARD PRESENT","F","GUANAJUATO",28,49.37,3496,50,4
"122","TDD","7 ELEVEN ANAXAGORAS   MEXICO DF    DF","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2022-11-11,"MX","CARD PRESENT","M","CIUDAD DE MEXICO",20,14.94,806,3,4
