,tipo_transaccion,nombre_comercio,giro_nombre,mcc_nombre,fecha_transaccion,ope_pais,entry_mode,sexo_cliente,estado_cliente,edad_cliente,monto_transaccion,id_cliente,tiempo,cluster,hormiga
28,TDD,SC*CALIENTE2          TIJUANA BCN  003,RETAIL,CASINOS CASAS DE JUEGO (APUESTAS INCLUYE BILLETES),23/02/23,MX,CARD NOT PRESENT,M,CHIHUAHUA,29,59.85,8031,107,4,
29,TDC,STP*UBER TRIP         CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",21/12/22,MX,CARD NOT PRESENT,M,MEXICO,22,34.87,5444,43,4,
30,TDC,BAZ SUPER APP         CIUDAD DE MEX001,OTROS,SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS,04/02/23,MX,CARD NOT PRESENT,M,MEXICO,25,59.85,8582,88,4,
31,TDD,AMZN MKTP US AMZN.COM/   SEATTLE,RETAIL,LIBRERIAS,13/02/23,US,CARD NOT PRESENT,M,JALISCO,34,76.54,8886,97,4,
32,TDD,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",19/11/22,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,78,89.77,601,11,4,1
33,TDD,TIENDA ERS            CIUDAD DE MEX001,RETAIL,SERVICIOS PUBLICITARIOS,06/03/23,MX,CARD PRESENT,F,NUEVO LEON,27,48.87,3244,118,4,
34,TDD,D LOCAL*DIDI RIDES    CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",18/11/22,MX,CARD NOT PRESENT,F,NUEVO LEON,23,127.32,3521,10,4,
35,TDD,Google Playrix Games     650-2530000,OTROS,BIENES DIGITALES APLICACIONES,02/03/23,US,CARD NOT PRESENT,F,NUEVO LEON,42,74.32,7271,114,4,
36,TDD,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",09/02/23,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,25,65.15,6640,93,4,
37,TDD,HTECH.COM TELCEL      SANPEDRO GARNL,RETAIL,COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE,31/12/22,MX,CARD NOT PRESENT,M,CAMPECHE,48,17.44,4752,53,4,
38,TDD,STRIPE *UBER PENDING  CIUDAD DE MEXCMX,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",28/01/23,MX,CARD NOT PRESENT,M,COAHUILA DE ZARAGOZA,37,24.92,6261,81,4,
39,TDD,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,30/01/23,MX,CARD NOT PRESENT,M,MEXICO,54,62,5709,83,4,
40,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",12/01/23,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,25,41.22,892,65,4,1
41,TDC,STRIPE *UBER PENDING  CIUDAD DE MEXCMX,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",16/02/23,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,37,88.6,3733,100,4,
42,TDD,STP*UBER EATS PENDING CIUDAD DE MEX001,OTROS,"TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",10/01/23,MX,CARD NOT PRESENT,F,NUEVO LEON,33,101.92,1321,63,4,1
946,TDD,CINEPOLIS APP TICKETS MORELIA MICH 16,ENTRETENIMIENTO,"CINES, TEATROS",05/03/23,MX,CARD NOT PRESENT,M,CHIAPAS,34,47.38,344,117,4,0
44,TDD,PAYPAL3               MEXICO DF    DF,AGREGADOR,AGREGADOR,13/11/22,MX,CARD NOT PRESENT,M,CHIAPAS,29,85.8,557,5,4,1
45,TDD,7 ELEVEN PADRE MIER OTMONTERREY NL NL,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",02/02/23,MX,CARD PRESENT,F,NUEVO LEON,23,31.41,4920,86,4,
46,TDC,AMAZON MX MARKETPLACE CIUDAD DE MEX001,OTROS,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),25/11/22,MX,CARD NOT PRESENT,M,BAJA CALIFORNIA,49,145.37,6177,17,2,
47,TDD,Google Playrix Games     650-2530000,OTROS,SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS,02/02/23,US,CARD NOT PRESENT,F,NUEVO LEON,42,74.32,7271,86,4,
48,TDD,ABAR MERZA HELIODORO HGUADALAJARA JJA,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",13/02/23,MX,CARD PRESENT,M,JALISCO,31,42.88,626,97,4,1
49,TDD,7 ELEVEN ALFONSO REY AMONTERREY NL NL,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",15/02/23,MX,CARD PRESENT,M,NUEVO LEON,53,59.85,4388,99,4,
50,TDD,STR*UNDOSTRES COM MX  CIUDAD DE MEX001,AGREGADOR,AGREGADOR,22/01/23,MX,CARD NOT PRESENT,M,GUANAJUATO,44,34.9,3826,75,4,
51,TDC,STR*UBER TRIP         CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",05/03/23,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,37,80.27,3733,117,4,
52,TDD,SC*CALIENTE2          TIJUANA BCN  003,RETAIL,CASINOS CASAS DE JUEGO (APUESTAS INCLUYE BILLETES),05/03/23,MX,CARD NOT PRESENT,M,NUEVO LEON,35,59.85,3626,117,4,
53,TDD,SC*CALIENTE2          TIJUANA BCN  003,ENTRETENIMIENTO,"CLUBES DEPORTIVOS PROFESIONALES, (HIPODROMOS,",22/11/22,MX,CARD NOT PRESENT,M,NUEVO LEON,35,69.83,3626,14,4,
54,TDC,MERCADO PAGO 1        CIUDAD DE MEX001,OTROS,MERCADO DIRECTO - VENTAS POR CATALOGO,14/02/23,MX,CARD NOT PRESENT,M,GUANAJUATO,23,144.41,5116,98,2,
55,TDC,REST SANTA BARBARA    MONTERREY NL 00,RESTAURANTE,RESTAURANTES,24/01/23,MX,CARD PRESENT,F,NUEVO LEON,37,150.67,5064,77,2,
56,TDC,STRIPE *UBER TRIP     CIUDAD DE MEXCMX,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",28/01/23,MX,CARD NOT PRESENT,F,QUERETARO,45,14.94,879,81,4,0
57,TDD,STP*UNDOSTRES COM MX  CIUDAD DE MEX001,AGREGADOR,AGREGADOR,06/02/23,MX,CARD NOT PRESENT,M,GUANAJUATO,44,34.9,3826,90,4,
58,TDD,SC*PLAYDOIT           GOMEZ PALACIO010,RETAIL,CASINOS CASAS DE JUEGO (APUESTAS INCLUYE BILLETES),02/02/23,MX,CARD NOT PRESENT,M,CHIAPAS,25,59.85,5446,86,4,
59,TDC,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",17/01/23,MX,CARD NOT PRESENT,F,QUERETARO,45,44.83,879,70,4,1
60,TDC,STP*UBER TRIP         CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",24/12/22,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,37,143.13,3733,46,2,
61,TDD,Google WM Max LLC        650-2530000,OTROS,BIENES DIGITALES APLICACIONES,14/01/23,US,CARD NOT PRESENT,M,MEXICO,23,84.3,5728,67,4,
62,TDD,DLOCAL*DIDI RIDES CA  CIUDAD DE MEX09,AGREGADOR,AGREGADOR,03/01/23,MX,CARD NOT PRESENT,F,NUEVO LEON,41,24.92,9073,56,4,
63,TDD,HTECH.COM TELCEL      SANPEDRO GARNL,RETAIL,COMPUTADORAS EQUIPO PERIF DE COMPUTADORAS SOFTWARE,07/01/23,MX,CARD NOT PRESENT,M,CAMPECHE,48,17.44,4752,60,4,
64,TDC,MERPAGO*GST           CIUDAD DE MEXDF,AGREGADOR,AGREGADOR,20/12/22,MX,CARD PRESENT,M,GUANAJUATO,25,72.33,2472,42,4,
65,TDC,CINEPOLIS DULCERIA    MORELIA MICH 16,ENTRETENIMIENTO,"CINES, TEATROS",09/02/23,MX,CARD PRESENT,M,MEXICO,23,139.69,5728,93,4,
66,TDD,DLOCAL*RAPPI          CIUDAD DE MEX09,AGREGADOR,AGREGADOR,14/12/22,MX,CARD NOT PRESENT,F,JALISCO,19,128.11,3289,36,4,
67,TDC,ABAR MERZA HELIODORO HGUADALAJARA JJA,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",14/02/23,MX,CARD PRESENT,M,JALISCO,31,45.49,626,98,4,1
68,TDD,7 ELEVEN GALEANA      MONTERREY NL NL,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",28/12/22,MX,CARD PRESENT,F,NUEVO LEON,23,14.44,4920,50,4,
69,TDD,S FIT CITADELLA       SN LUIS POTOS024,ENTRETENIMIENTO,"CLUBES DEPORTIVOS PROFESIONALES, (HIPODROMOS,",20/01/23,MX,CARD NOT PRESENT,M,SAN LUIS POTOSI,25,189.09,5421,73,2,
3899,TDC,D LOCAL*DIDI RIDES    CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",25/12/22,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,28,61.14,98,47,4,1
71,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",26/01/23,MX,CARD NOT PRESENT,F,QUERETARO,45,37.42,879,79,4,1
72,TDD,STRIPE *UBER PENDING  CIUDAD DE MEXCMX,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",20/02/23,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,78,99.74,601,104,4,1
73,TDC,STP*UBER TRIP         CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",15/12/22,MX,CARD NOT PRESENT,M,MEXICO,30,161.2,827,37,2,1
74,TDD,DLOCAL*DIDI FOOD CA   CIUDAD DE MEX09,AGREGADOR,AGREGADOR,14/01/23,MX,CARD NOT PRESENT,F,NUEVO LEON,25,92.29,1251,67,4,0
75,TDC,SPOTIFY               CIUDAD DE MEX001,OTROS,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),05/12/22,MX,CARD NOT PRESENT,M,DURANGO,42,67.34,4074,27,4,
76,TDC,UBER                  CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",07/02/23,MX,CARD NOT PRESENT,M,MEXICO,23,19.93,5728,91,4,
77,TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,20/12/22,MX,CARD NOT PRESENT,M,JALISCO,30,483.51,1641,42,3,
78,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",25/01/23,MX,CARD NOT PRESENT,M,BAJA CALIFORNIA,49,34.9,6177,78,4,
79,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",19/11/22,MX,CARD NOT PRESENT,M,JALISCO,25,34.9,2988,11,4,
80,TDD,SC*CALIENTE2          TIJUANA BCN  003,ENTRETENIMIENTO,"CLUBES DEPORTIVOS PROFESIONALES, (HIPODROMOS,",21/11/22,MX,CARD NOT PRESENT,M,NUEVO LEON,35,209.55,3626,13,2,
81,TDC,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,28/11/22,MX,CARD NOT PRESENT,M,JALISCO,30,449.07,1641,20,3,
82,TDD,FACEBK ADS               fb.me/ads,RETAIL,SERVICIOS PUBLICITARIOS,21/11/22,IE,CARD NOT PRESENT,M,SINALOA,23,39.89,5736,13,4,
1511,TDC,D LOCAL*DIDI RIDES    CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",01/01/23,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,28,39.76,98,54,4,1
84,TDD,D LOCAL*DIDI RIDES    CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",07/01/23,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,28,31.55,98,60,4,1
85,TDC,MCDONALDS S ANTARA F CCIUDAD DE MEX00,COMIDA RAPIDA,COMIDA RAPIDA,22/01/23,MX,CARD PRESENT,F,MEXICO,31,94.28,4894,75,4,
86,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",04/02/23,MX,CARD NOT PRESENT,F,MEXICO,42,17.44,5814,88,4,
87,TDC,7 ELEVEN PADRE MIER OTMONTERREY NL NL,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",22/02/23,MX,CARD PRESENT,F,NUEVO LEON,23,18.68,4920,106,4,
88,TDD,JCJ GONZALITOS        MONTERREY NL 019,RETAIL,JUEGOS DE MESA Y PASATIEMPOS,23/12/22,MX,CARD PRESENT,F,NUEVO LEON,27,236.75,7466,45,2,
89,TDC,DLOCAL *HOTMART       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,05/01/23,MX,CARD NOT PRESENT,M,JALISCO,38,177.79,7645,58,2,
90,TDC,STARBUCKS MX EC       CIUDAD DE MEXDF,COMIDA RAPIDA,COMIDA RAPIDA,22/02/23,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,28,10.45,4301,106,4,
91,TDD,Google GARENA            650-2530000,OTROS,SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS,17/11/22,US,CARD NOT PRESENT,F,VERACRUZ DE IGNACIO DE LA LLAV,23,12.94,1551,9,4,0
92,TDC,PAYPAL *UBER BV          35314369001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",29/11/22,NL,CARD NOT PRESENT,M,CIUDAD DE MEXICO,26,34.9,1808,21,4,
93,TDC,ZORRO PACHUCA         PACHUCA DE SOHI,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",23/02/23,MX,CARD PRESENT,M,MEXICO,30,114.61,827,107,4,1
94,TDD,STP*UBER TRIP         CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",20/11/22,MX,CARD NOT PRESENT,M,GUANAJUATO,27,40.68,7719,12,4,
95,TDD,PAYPAL3               MEXICO DF    DF,AGREGADOR,AGREGADOR,20/12/22,MX,CARD NOT PRESENT,M,NUEVO LEON,16,289.76,8620,42,2,
96,TDD,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",13/01/23,MX,CARD NOT PRESENT,F,MORELOS,40,49.84,5104,66,4,
97,TDD,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",14/02/23,MX,CARD NOT PRESENT,M,COAHUILA DE ZARAGOZA,37,34.8,6261,98,4,
98,TDC,DLOCAL*DIDI RIDES CA  CIUDAD DE MEX09,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",07/02/23,MX,CARD NOT PRESENT,F,MEXICO,42,50.49,5814,91,4,
99,TDC,MERCADO PAGO 4        CIUDAD DE MEX001,OTROS,MERCADO DIRECTO - VENTAS POR CATALOGO,19/11/22,MX,CARD NOT PRESENT,F,MEXICO,42,141.13,5814,11,2,
100,TDD,CINEMAS RALY          MONTERREY NL 019,ENTRETENIMIENTO,"CINES, TEATROS",16/02/23,MX,CARD PRESENT,F,NUEVO LEON,27,59.85,9537,100,4,
101,TDD,DLOCAL*DIDI FOOD CA   CIUDAD DE MEX09,COMIDA RAPIDA,COMIDA RAPIDA,03/02/23,MX,CARD NOT PRESENT,M,QUERETARO,15,79.81,7089,87,4,
102,TDD,7 ELEVEN MORENITA MIA SANNICOLAS NNL,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",28/11/22,MX,CARD PRESENT,M,NUEVO LEON,59,79.81,9575,20,4,
103,TDD,FACEBK ADS               fb.me/ads,RETAIL,SERVICIOS PUBLICITARIOS,21/11/22,IE,CARD NOT PRESENT,M,SINALOA,23,159.65,5736,13,2,
4130,TDD,D LOCAL*DIDI RIDES    CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",07/01/23,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,28,47.72,98,60,4,1
105,TDD,Google Storage           650-2530000,RETAIL,VENTA DE SOFTWARE PARA COMPUTADORAS,04/01/23,US,CARD NOT PRESENT,M,MEXICO,32,34.4,378,57,4,1
106,TDC,MERPAGO*GST           CIUDAD DE MEXDF,AGREGADOR,AGREGADOR,22/12/22,MX,CARD PRESENT,M,GUANAJUATO,25,18.18,2472,44,4,
107,TDD,ABRRTS S PORTALES     JUAREZ NL    019,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",26/12/22,MX,CARD PRESENT,F,NUEVO LEON,27,159.65,3244,48,2,
108,TDC,ABAR MERZA HELIODORO HGUADALAJARA JJA,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",02/12/22,MX,CARD PRESENT,M,JALISCO,31,48.62,626,24,4,1
109,TDD,SNP*MERCADOPAGO       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,12/12/22,MX,CARD PRESENT,M,NUEVO LEON,30,44.88,7743,34,4,
110,TDC,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",31/01/23,MX,CARD NOT PRESENT,F,MEXICO,42,47.33,5814,84,4,
111,TDC,PAYPAL *PATREONIREL  ME  35314369001,OTROS,"MERCADEO DIRECTO, SERVICIOS POR TELEFONO.",14/11/22,IE,CARD NOT PRESENT,F,CIUDAD DE MEXICO,28,24.92,4301,6,4,
112,TDD,FNCIA*3BROMA          CIUDAD DE MEX001,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",28/01/23,MX,CARD PRESENT,M,CIUDAD DE MEXICO,30,32.41,480,81,4,1
113,TDD,OXXO TERRANOVA        MONTERREY NL NL,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",29/12/22,MX,CARD PRESENT,M,NUEVO LEON,30,15.69,7743,51,4,
114,TDD,RIO LERMA EL MORO     CIUDAD DE MEX00,COMIDA RAPIDA,COMIDA RAPIDA,29/12/22,MX,CARD PRESENT,F,MORELOS,40,109.75,5104,51,4,
115,TDD,SR PAGO*MIBAITCOM     BENITO JUAREZ001,AGREGADOR,AGREGADOR,22/11/22,MX,CARD NOT PRESENT,M,CHIAPAS,30,109.75,7154,14,4,
116,TDD,STP*UBER EATS PENDING CIUDAD DE MEX001,OTROS,"TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",09/12/22,MX,CARD NOT PRESENT,M,NUEVO LEON,39,169.63,4494,31,2,
117,TDD,HELADOS SULTANA       MONTERREY    NL,RETAIL,"LECHERIAS, CREMERIAS, LACTEOS",21/02/23,MX,CARD PRESENT,M,NUEVO LEON,20,38.39,5461,105,4,
118,TDC,CONEKTA*KOLORS        CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,AUTOBUSES FORANEOS,15/01/23,MX,CARD NOT PRESENT,M,VERACRUZ DE IGNACIO DE LA LLAV,41,153.66,1037,68,2,0
119,TDC,D LOCAL*INDRIVE       CIUDAD DE MEX001,AGREGADOR,AGREGADOR,02/12/22,MX,CARD NOT PRESENT,M,JALISCO,25,59.85,2988,24,4,
120,TDC,SPOTIFY               CIUDAD DE MEX001,OTROS,COMERCIOS ELECTRONICOS (VTAS POR INTERNET),25/11/22,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,32,99.27,3376,17,4,
121,TDD,DLOCAL*RAPPI          CIUDAD DE MEX09,COMIDA RAPIDA,COMIDA RAPIDA,02/02/23,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,25,104.16,6640,86,4,
122,TDD,STARBUCKS M ALEMAN DT APODACA NL   NL,COMIDA RAPIDA,COMIDA RAPIDA,28/12/22,MX,CARD PRESENT,M,NUEVO LEON,33,48.87,9286,50,4,
123,TDD,FRUTERIA TAURO 1      GUADALUPE NL 019,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",14/11/22,MX,CARD PRESENT,F,NUEVO LEON,54,135.21,2127,6,4,
124,TDC,BAZ SUPER APP         CIUDAD DE MEX001,OTROS,SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS,14/01/23,MX,CARD NOT PRESENT,M,MEXICO,28,259.45,4151,67,2,
